"","MCC_score"
"RAB7B",-6.06589729537244
"RORA",-6.06757593582885
"EGR3",-6.06778399652989
"CCBE1",-6.06940949930523
"CD207",-6.07009826895931
"SNX21",-6.07197498426856
"COBLL1",-6.07382389093759
"FLG2",-6.07565278841025
"PSAPL1",-6.0763691996212
"ERBB2",-6.07808249807402
"C1S",-6.07834410472098
"ACER1",-6.07926921490162
"CPED1",-6.07963198909563
"AZGP1",-6.08145615113758
"TMEM159",-6.08165020930073
"CP",-6.08213892838742
"AKR1C3",-6.08218109703807
"TYRP1",-6.08645267855063
"CCN5",-6.08891372193154
"FGD4",-6.09035713225743
"ERLIN1",-6.09117298059497
"CDSN",-6.09239336370745
"PTPN21",-6.09328482063083
"CAPNS2",-6.09346449738426
"CCN3",-6.09519176903898
"PAMR1",-6.09645119631338
"TM4SF1",-6.09700803346199
"HIPK3",-6.09706534016529
"PRRG4",-6.09738236547072
"PPARGC1A",-6.09831120580743
"ITGA6",-6.09832425578553
"COL17A1",-6.0988563181193
"LOR",-6.09978959634965
"LINC00302",-6.1000641463063
"DSTYK",-6.10097797901734
"KY",-6.10198244613182
"C6orf132",-6.10225545883624
"PLCD3",-6.10238870175843
"LPP",-6.10360902911655
"BCL6",-6.10477227122815
"KRT10",-6.10705844000873
"VIT",-6.10763776945639
"DST",-6.10848095892376
"SLURP1",-6.10853644450595
"MBNL2",-6.10862479197243
"KLK7",-6.10863101948708
"SCGB2A2",-6.10869907965152
"FAM83C",-6.10987873480862
"ANGPTL1",-6.11018707422165
"PLA2G4A",-6.11078509302493
"TPRG1",-6.11191942222724
"AADACL2",-6.11483981745343
"CAST",-6.11525965306089
"LMOD1",-6.11593654596289
"DMKN",-6.11620905009278
"GSN",-6.11643756871129
"HPGDS",-6.11803252570868
"SLC39A2",-6.1204842776107
"PRELP",-6.12066273909903
"EPB41L4B",-6.12118933284888
"CRCT1",-6.12125659451497
"ALDH3B2",-6.12348942459016
"PTK6",-6.1243910378992
"EFCAB14",-6.12713474204296
"CA6",-6.13057151089231
"TGM3",-6.13178286113807
"PAFAH1B1",-6.13255213114161
"PDLIM5",-6.13438004866322
"SLAIN2",-6.13844097793827
"F3",-6.13897395424482
"THRB",-6.14016051379128
"FOXP2",-6.14050438458835
"PLEKHF2",-6.14191994523283
"MUCL1",-6.14374378089269
"CYBRD1",-6.14579625584233
"SDR16C5",-6.14590245602021
"CPA3",-6.14606019475885
"IL6ST",-6.14689819865923
"LRRN4CL",-6.1469684712875
"DKK2",-6.14761957918709
"PPL",-6.14778459728742
"MPZL1",-6.14822122235647
"GSTA3",-6.14883592757584
"CDH19",-6.14991504739414
"MAF",-6.15001606568152
"CXADR",-6.15005659526808
"GAL3ST4",-6.1506917744548
"WLS",-6.15086592374049
"KRT2",-6.15150273273992
"CDV3",-6.15205467606015
"SH3D19",-6.1525524555856
"SNAP23",-6.15277384105989
"UTRN",-6.1538021186071
"TGFBR3",-6.15462421510627
"SEC61A1",-6.15595241435119
"F2RL1",-6.15730257477064
"PRNP",-6.15890508415855
"DSG1",-6.15967853025971
"TENT5B",-6.16054168414053
"LAMB4",-6.16207811097486
"SOSTDC1",-6.1627847758907
"PPP2R3A",-6.16291613448192
"MFAP3L",-6.1634498638297
"ABCA8",-6.16423145785822
"DSC3",-6.16446788608989
"MAOA",-6.16505100235737
"GRTP1",-6.16602605328527
"PPP1R3B",-6.16722996949994
"IGFBP6",-6.16837926297348
"CD1A",-6.16885228898739
"RXRA",-6.16950907666604
"CD164",-6.17045825479264
"WFDC5",-6.17082274482094
"CLCA4",-6.17153486526887
"GATA3",-6.17257524857747
"RAI2",-6.17347232951683
"PLPP3",-6.17384791484905
"LCE2B",-6.17427638939337
"NUPR1",-6.17430048796932
"CERS3",-6.17626879277593
"C1orf68",-6.17780725260954
"SLMAP",-6.17782826622096
"DENND2C",-6.17844097960775
"PDGFRL",-6.17960258365876
"GRHL1",-6.18110053198999
"GJB3",-6.18188760300873
"AKR1C1",-6.18240026316372
"C5orf46",-6.18267630643762
"YBX3",-6.18442416385943
